Domain,Cathcode
12asA00 , 3.30.930.10
1a75A00 , 1.10.238.10
1aggA00 , 4.10.40.10
1aq0A00 , 3.20.20.80
1b08C00 , 3.10.100.10
1b8dA00 , 1.10.490.20
1bhpA00 , 3.30.1350.10
1bw3A00 , 2.40.40.10
1c6rA00 , 1.10.760.10
1ci9A00 , 3.40.710.10
1cwpA00 , 2.60.120.220
1d8jA00 , 1.10.10.10
1dl2A00 , 1.50.10.10
1dx7A00 , 1.20.5.250
1e8uA00 , 2.120.10.10
1ek9A00 , 1.20.1600.10
1exaA00 , 1.10.565.10
1f6bB00 , 3.40.50.300
1fjjA00 , 3.90.280.10
1fw3A00 , 2.40.230.10
1g60B00 , 3.40.50.150
1ghuA00 , 3.30.505.10
1gveB00 , 3.20.20.100
1h59B00 , 4.10.40.20
1hfiA00 , 2.10.70.10
1hu3A00 , 1.25.40.180
1i77A00 , 3.90.10.10
1ijdA00 , 4.10.220.20
1iv0A00 , 3.30.420.140
1j6wA00 , 3.30.1360.80
1jfaB00 , 1.10.600.10
1jmtA00 , 3.30.70.330
1jyaA00 , 3.30.1460.10
1k8kF00 , 3.30.1460.20
1knmA00 , 2.80.10.50
1l3aA00 , 2.30.31.10
1ll0B00 , 3.90.550.10
1lxjA00 , 3.30.70.930
1mdyA00 , 4.10.280.10
1mwwB00 , 3.30.429.10
1nbuA00 , 3.30.1130.10
1nlrA00 , 2.60.120.180
1nyeA00 , 3.30.300.20
1ob8A00 , 3.40.1350.10
1oqkA00 , 2.30.30.210
1p4tA00 , 2.40.160.20
1pjzA00 , 3.40.50.150
1pzrA00 , 1.10.20.20
1q90C00 , 2.102.10.10
1qouB00 , 3.90.280.10
1r53A00 , 3.60.150.10
1rj8A00 , 2.60.120.40
1rypA00 , 3.60.20.10
1s7oB00 , 1.10.10.10
1skoB00 , 3.30.450.30
1sxlA00 , 3.30.70.330
1t8tA00 , 3.40.50.300
1tljB00 , 3.30.1960.10
1txjA00 , 2.170.150.10
1u7zA00 , 3.40.50.10300
1uhwA00 , 1.10.10.10
1uv4A00 , 2.115.10.20
1v6bA00 , 2.30.42.10
1vf6C00 , 1.10.287.650
1vp7A00 , 1.10.287.1040
1vt0k00 , 1.10.3230.20
1w2lA00 , 1.10.760.10
1weoA00 , 3.30.40.10
1wjsA00 , 2.30.30.140
1wv4B00 , 2.30.110.10
1x4dA00 , 3.30.70.330
1xeqB00 , 1.10.287.10
1xneA00 , 2.30.130.30
1y0uA00 , 1.10.10.10
1ydgA00 , 3.40.50.360
1yoeA00 , 3.90.245.10
1z0pA00 , 1.20.58.90
1zccA00 , 3.20.20.190
1zu2A00 , 1.25.40.10
2a6sB00 , 3.30.2310.20
2aliA00 , 3.10.129.10
2b0aA00 , 3.50.30.50
2bgoA00 , 2.60.120.260
2bx9A00 , 2.10.230.20
2cc0A00 , 3.20.20.370
2cpfA00 , 3.30.70.330
2cx6A00 , 3.30.370.10
2d9hA00 , 3.30.160.60
2dklA00 , 1.10.8.10
2dsyA00 , 3.30.160.250
2e6xA00 , 3.10.20.570
2egkA00 , 2.30.42.10
2ettA00 , 3.30.1520.10
2f96A00 , 3.30.420.10
2ficB00 , 1.20.1270.60
2fu2A00 , 1.20.1440.50
2g7rA00 , 1.10.533.10
2glwA00 , 2.10.260.10
2h29A00 , 3.40.50.620
2hj1A00 , 3.10.20.280
2hytA00 , 1.10.357.10
2i9xA00 , 3.30.1120.40
2in5A00 , 2.40.360.10
2j1aA00 , 2.60.120.260
2jilA00 , 2.30.42.10
2jsnA00 , 2.30.42.40
2jz8A00 , 2.60.260.40
2k53A00 , 1.10.3910.10
2kc7A00 , 1.25.40.10
2kinA00 , 3.40.850.10
2koeA00 , 1.10.1220.70
2kwhA00 , 1.20.58.90
2l2qA00 , 3.40.50.2300
2l8kA00 , 1.20.58.950
2lfeA00 , 2.60.40.2840
2lo6A00 , 1.25.40.90
2lu1A00 , 3.30.70.2370
2m1xA00 , 3.40.50.10140
2m9hA00 , 1.10.10.60
2mh3A00 , 4.10.280.10
2mpcA00 , 1.10.533.10
2n3gA00 , 3.30.160.20
2nqwA00 , 3.30.465.10
2o3bB00 , 3.40.1460.10
2oerA00 , 1.10.357.10
2oryA00 , 3.40.50.1820
2p4dA00 , 3.90.190.10
2ph1A00 , 3.40.50.300
2psmA00 , 1.20.1250.70
2q7bA00 , 3.40.630.30
2ql2B00 , 4.10.280.10
2qycA00 , 3.30.70.100
2rbcA00 , 3.40.1190.20
2rp5A00 , 1.10.150.830
2uyoA00 , 3.40.50.150
